Bulan,ACEH,SUMATERA UTARA,SUMATERA BARAT,RIAU,JAMBI,SUMATERA SELATAN,BENGKULU,LAMPUNG,KEP. BANGKA BELITUNG,KEP. RIAU,DKI JAKARTA,JAWA BARAT,JAWA TENGAH,DI YOGYAKARTA,JAWA TIMUR,BANTEN,BALI,NUSA TENGGARA BARAT,NUSA TENGGARA TIMUR,KALIMANTAN BARAT,KALIMANTAN TENGAH,KALIMANTAN SELATAN,KALIMANTAN TIMUR,KALIMANTAN UTARA,SULAWESI UTARA,SULAWESI TENGAH,SULAWESI SELATAN,SULAWESI TENGGARA,GORONTALO,SULAWESI BARAT,MALUKU,MALUKU UTARA,PAPUA BARAT,PAPUA
Juni (2021),457822,1571487,894952,521519,255590,574663,159098,791886,93222,65954,3020770,7167804,10559913,1784864,14179950,2684415,942465,311343,246405,191558,187859,381521,233957,24856,344017,183102,928134,212043,100327,91217,55585,57866,42558,86681
Juli (2021),445355,1127318,664848,486997,240188,499604,126188,564563,73819,36721,1516119,4073984,8735768,920309,9773674,1859367,441796,224399,205857,158340,136067,346333,137412,18927,237853,155542,838925,190375,92090,89158,32749,44031,26814,50949
Agustus (2021),397120,1139616,635405,418261,205004,477028,123317,602800,62355,40978,2149334,6941962,10234832,1283886,9608471,2654678,575592,232826,218815,186790,130487,265638,155570,17571,237457,131074,723167,179936,85478,80028,38200,46619,29913,48378
September (2021),440652,1329028,717460,480952,234360,554767,139828,749160,80206,73747,2914875,8993185,12699513,1879850,12421768,3508920,768756,253597,277164,201094,151033,323585,207404,22787,290810,157759,824543,214553,97555,90870,46237,51543,42337,90643
Oktober (2021),490983,1641459,829981,542388,277376,624377,160489,835530,109459,88509,3590483,10796398,15670718,2749665,15355312,4154690,1023186,300825,310030,236697,182649,415035,243553,29487,340274,187825,960245,237909,104446,91955,52031,67386,40861,79326
November (2021),445046,1433761,733146,503440,247704,568239,138376,760453,101097,85577,3503961,9236395,16327544,2831810,15619037,3955307,1025748,272499,283321,199557,153217,373463,221625,24119,333070,168918,842440,220257,93069,86912,51355,51408,33842,63345
Desember (2021),615908,2256408,1084422,735090,367540,796983,210851,1089221,140399,122247,4513926,11284591,17809415,3437656,19245908,3484770,1318502,329405,591838,341346,245330,473090,378506,36413,403468,243526,1091834,293377,122720,109793,68109,73794,55063,114802
Januari (2020),483897,2012511,863282,619363,264201,620543,155102,876254,127282,138085,4285490,10492510,13945958,2564209,11480621,3493296,1198046,357562,196280,238250,199469,453132,314243,27906,156614,185796,1027653,206468,48443,105991,38562,46810,46741,75045
Februari (2020),430589,1466193,779785,548129,250082,584230,140647,782363,107273,112726,3980736,9453029,12527304,2165645,10963390,3108353,1076140,346046,177430,192950,184057,525682,286192,28952,154197,176960,932636,193500,44850,97671,36768,47758,44158,73078
Maret (2020),351710,1109440,623248,464347,206088,483516,117920,658446,83654,68659,2731511,7069903,11005404,1653382,9901042,2403198,684140,266947,161512,133713,162270,388598,217704,22807,158677,145200,759362,143516,54723,69873,29688,38527,34282,57571
April (2020),157764,442072,226466,215636,114969,234250,61421,356647,34757,19843,800210,2572442,8810623,731738,6570521,1058760,273450,114758,102092,58284,78802,142599,91121,9670,66627,65380,287133,71545,33603,26873,10479,22439,9348,24783
Mei (2020),258310,576278,250931,249411,133020,223800,67769,395199,48428,17661,1102095,3478828,7558284,665050,7672138,1372881,261406,134465,78698,70612,75118,140584,95763,8536,58036,65852,308242,71224,27476,22014,7978,12649,11657,26829
Juni (2020),298482,864667,562966,390121,183620,339725,100775,559053,53351,29392,1730939,6047886,8741458,966026,9184613,1757307,427300,219509,123912,114469,105229,217081,153412,12698,112243,86803,547513,106867,49003,49222,11914,23881,17414,35260
Juli (2020),333571,1082687,754303,440119,235975,486690,131746,779034,70022,47791,2338540,8293439,10624146,1407181,11452136,2276198,596736,292720,180686,156207,153741,299967,179746,17870,193492,119534,663996,146936,68769,61561,15625,36540,22301,45320
Agustus (2020),392055,1291700,827245,497048,258405,555501,154764,880796,87978,46331,2588398,9436215,11468963,1835908,11299515,2660062,773886,345466,208219,188940,178547,378968,193051,19917,259030,157123,909748,181890,83192,80440,21065,43536,23616,46725
September (2020),293602,1016798,555478,422867,228973,484199,127706,686462,73888,48314,1961247,6769447,10031173,1570374,12304681,1938669,737473,303882,204091,139666,177946,340628,179654,20879,282281,132882,850322,206855,94892,75891,23965,47792,23906,50583
Oktober (2020),340415,1232110,672099,520924,240877,557537,146378,788792,81326,60644,2466514,8455505,11470617,1937169,11175527,2516445,798998,321857,269250,157775,191431,401871,209778,22363,335445,109312,959171,193265,108500,75517,29428,50275,26119,55847
November (2020),322558,1120288,661261,463144,242326,514748,131395,737712,86222,61440,3248857,8397804,11782903,1884242,11164569,2951355,847456,297806,232124,142495,178377,373595,208725,22030,326566,137047,906014,191705,101882,75153,30269,48505,32062,58583
Desember (2020),479226,1831624,1115758,674613,326026,745355,184734,1024964,111916,94695,3679663,9414524,14465546,2210558,13932909,3305453,1144499,371680,359388,261247,218817,470887,275463,68039,377599,189733,1063264,269241,132725,110693,147307,83999,50886,136898
